year,donor_code,donor_name,category_code,category_name,value,iati_usd_mil,percent_difference
2010.0,2.0,Belgium,10.0,ODA,,229.87399899419998,
2010.0,3.0,Denmark,10.0,ODA,,1880.802197718486,
2010.0,5.0,Germany,10.0,ODA,,456.39062677392604,
2010.0,6.0,Italy,10.0,ODA,,16.164210023072002,
2010.0,7.0,Netherlands,10.0,ODA,,3824.7497283062,
2010.0,7.0,Netherlands,30.0,Private Development Finance,,15.45368468,
2010.0,8.0,Norway,10.0,ODA,,49.13025171790235,
2010.0,12.0,United Kingdom,10.0,ODA,,7585.844160174818,
2010.0,18.0,Finland,10.0,ODA,,0.0,
2010.0,18.0,Finland,20.0,OOF,,0.0,
2010.0,18.0,Finland,30.0,Private Development Finance,,0.0,
2010.0,18.0,Finland,35.0,Private Market,,0.0,
2010.0,18.0,Finland,50.0,Other flows,,0.0,
2010.0,69.0,Slovak Republic,10.0,ODA,,0.0997992818,
2010.0,301.0,Canada,10.0,ODA,,186.26884488708993,
2010.0,576.0,United Arab Emirates,10.0,ODA,,48.4968282,
2010.0,801.0,Australia,10.0,ODA,,1202.5455780149005,
2010.0,820.0,New Zealand,10.0,ODA,,55.57302986016874,
2010.0,905.0,International Development Association,10.0,ODA,,5111.539868,
2010.0,905.0,International Development Association,20.0,OOF,,7966.464696,
2010.0,909.0,Inter-American Development Bank,20.0,OOF,,9082.850354,
2010.0,913.0,African Development Bank,10.0,ODA,,2675.079239706841,
2010.0,913.0,African Development Bank,21.0,Non-export credit OOF,,8.753223411747394,
2010.0,914.0,African Development Fund,10.0,ODA,,2675.079239706841,
2010.0,914.0,African Development Fund,21.0,Non-export credit OOF,,8.753223411747394,
2010.0,918.0,EU Institutions,10.0,ODA,,302.88436895115194,
2010.0,971.0,UNAIDS,10.0,ODA,,0.0,
2010.0,976.0,Islamic Development Bank,10.0,ODA,,324.09036738,
2010.0,976.0,Islamic Development Bank,21.0,Non-export credit OOF,,1367.22677271,
2010.0,988.0,IFAD,20.0,OOF,,458.555927585111,
2010.0,1014.0,Private Infrastructure Development Group,36.0,Private Foreign Direct Investment,,99.37720620379999,
2010.0,1311.0,Global Alliance for Vaccines and Immunization,10.0,ODA,,603.44064031,
