reportingorg_ref,publisher_name,donor_name,year,iati_usd_mil
44000,The World Bank,International Development Association,2012,0.689844
44000,The World Bank,International Development Association,2013,1.657726
44000,The World Bank,International Development Association,2014,1.638901
44000,The World Bank,International Development Association,2023,1025.65626
44000,The World Bank,International Development Association,2024,1864.247441
GB-GOV-1,"UK - Foreign, Commonwealth and Development Office",United Kingdom,2023,2481.8234874099985
GB-GOV-1,"UK - Foreign, Commonwealth and Development Office",United Kingdom,2024,1465.1101294491991
GB-GOV-7,"UK - Department for Environment, Food and Rural Affairs",United Kingdom,2019,0.8623562211919994
GB-GOV-7,"UK - Department for Environment, Food and Rural Affairs",United Kingdom,2020,1.669316455791999
GB-GOV-7,"UK - Department for Environment, Food and Rural Affairs",United Kingdom,2021,5.046260122499998
GB-GOV-7,"UK - Department for Environment, Food and Rural Affairs",United Kingdom,2022,4.168749136497998
GB-GOV-7,"UK - Department for Environment, Food and Rural Affairs",United Kingdom,2023,0.8827699999999995
NL-KVK-27378529,Netherlands Enterprise Agency (RVO),Netherlands,2012,1.0305005416000002
NL-KVK-27378529,Netherlands Enterprise Agency (RVO),Netherlands,2013,4.7800876442
NL-KVK-27378529,Netherlands Enterprise Agency (RVO),Netherlands,2014,17.565989622
NL-KVK-27378529,Netherlands Enterprise Agency (RVO),Netherlands,2015,12.1332179068
NL-KVK-27378529,Netherlands Enterprise Agency (RVO),Netherlands,2016,13.677292529799999
NL-KVK-27378529,Netherlands Enterprise Agency (RVO),Netherlands,2017,9.399303354
NL-KVK-27378529,Netherlands Enterprise Agency (RVO),Netherlands,2018,4.8831167856
NL-KVK-27378529,Netherlands Enterprise Agency (RVO),Netherlands,2019,1.4070747308840001
NL-KVK-27378529,Netherlands Enterprise Agency (RVO),Netherlands,2020,0.687546022152
SE-0,"Sweden, through Swedish International Development Cooperation Agency (Sida)",Sweden,2010,2987.9553890133975
SE-0,"Sweden, through Swedish International Development Cooperation Agency (Sida)",Sweden,2011,3282.323599277401
SE-0,"Sweden, through Swedish International Development Cooperation Agency (Sida)",Sweden,2012,3327.207837745641
SE-0,"Sweden, through Swedish International Development Cooperation Agency (Sida)",Sweden,2013,3367.4634095065485
SE-0,"Sweden, through Swedish International Development Cooperation Agency (Sida)",Sweden,2014,3665.3961137843767
SE-0,"Sweden, through Swedish International Development Cooperation Agency (Sida)",Sweden,2015,5783.904024291108
SE-0,"Sweden, through Swedish International Development Cooperation Agency (Sida)",Sweden,2016,5088.693466504663
SE-0,"Sweden, through Swedish International Development Cooperation Agency (Sida)",Sweden,2017,4647.734312701397
SE-0,"Sweden, through Swedish International Development Cooperation Agency (Sida)",Sweden,2018,5051.725933727337
SE-0,"Sweden, through Swedish International Development Cooperation Agency (Sida)",Sweden,2019,5018.926804989411
SE-0,"Sweden, through Swedish International Development Cooperation Agency (Sida)",Sweden,2020,5887.501610075116
SE-0,"Sweden, through Swedish International Development Cooperation Agency (Sida)",Sweden,2021,5144.132200230531
SE-0,"Sweden, through Swedish International Development Cooperation Agency (Sida)",Sweden,2022,5562.623782754145
SE-0,"Sweden, through Swedish International Development Cooperation Agency (Sida)",Sweden,2023,6263.868464960315
SE-0,"Sweden, through Swedish International Development Cooperation Agency (Sida)",Sweden,2024,3131.9618916196036
US-GOV-18,Millennium Challenge Corporation,United States,2010,1224.8207693900001
US-GOV-18,Millennium Challenge Corporation,United States,2011,1558.78170604
US-GOV-18,Millennium Challenge Corporation,United States,2012,1329.8520047
US-GOV-18,Millennium Challenge Corporation,United States,2013,1653.6070842000001
US-GOV-18,Millennium Challenge Corporation,United States,2014,863.35471874
US-GOV-18,Millennium Challenge Corporation,United States,2015,717.73176411
US-GOV-18,Millennium Challenge Corporation,United States,2016,676.25673224
US-GOV-18,Millennium Challenge Corporation,United States,2017,714.78040285
US-GOV-18,Millennium Challenge Corporation,United States,2018,706.2426911599999
US-GOV-18,Millennium Challenge Corporation,United States,2019,562.3675542899999
US-GOV-18,Millennium Challenge Corporation,United States,2020,620.23155502
US-GOV-18,Millennium Challenge Corporation,United States,2021,712.31028464
US-GOV-18,Millennium Challenge Corporation,United States,2022,649.80110776
US-GOV-18,Millennium Challenge Corporation,United States,2023,745.39135325
US-GOV-18,Millennium Challenge Corporation,United States,2024,623.10938175
XI-BRIDGE-6385676864,GEF Secretariat,Global Environment Facility,2010,0.0
XI-BRIDGE-6385676864,GEF Secretariat,Global Environment Facility,2011,0.0
XI-BRIDGE-6385676864,GEF Secretariat,Global Environment Facility,2012,0.0
XI-BRIDGE-6385676864,GEF Secretariat,Global Environment Facility,2013,0.0
XI-BRIDGE-6385676864,GEF Secretariat,Global Environment Facility,2014,0.400962
